benchmark,qid,manual_temporal_type,label_provenance,n_annotated_gold_ids,n_resolved_canonical_gold,n_unresolved_gold_ids,n_gold_in_any_saved_tree,mapping_complete,min_trees_cover_all_gold,single_tree_cover,min_specific_trees_cover_all_gold,specific_fragmented,min_scopes_cover_all_gold,cross_scope_required,max_single_tree_gold_fraction,session_gold_coverage,entity_gold_coverage,scene_gold_coverage,memtree_embed_correct,memtree_planner_correct
locomo,conv-26_qa000,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa001,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa006,historical-state,hybrid_author_adjudicated,5,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.666667,1.0,0,0
locomo,conv-26_qa008,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa009,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa010,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa012,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa016,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa017,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa020,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa021,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa025,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa026,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa029,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa031,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa033,historical-state,hybrid_author_adjudicated,4,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.333333,1.0,0,0
locomo,conv-26_qa035,historical-state,hybrid_author_adjudicated,3,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,0
locomo,conv-26_qa036,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa041,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa044,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa045,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa049,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa053,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa054,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa057,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
locomo,conv-26_qa058,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa062,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa063,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa067,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa068,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa072,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,0
locomo,conv-26_qa073,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa074,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-26_qa079,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-26_qa080,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-30_qa000,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa001,historical-state,hybrid_author_adjudicated,5,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa006,historical-state,hybrid_author_adjudicated,3,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa007,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa008,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa010,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa011,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-30_qa012,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa013,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,1,1
locomo,conv-30_qa014,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa015,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa016,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-30_qa019,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa020,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa021,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa022,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa026,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa028,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa030,historical-state,hybrid_author_adjudicated,5,5,0,5,1,1,1,1,0,1,0,1.0,1.0,0.6,1.0,0,0
locomo,conv-30_qa032,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa033,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-30_qa034,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-30_qa035,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa036,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-30_qa038,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa000,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
