key,model,qid,question_type,fact_id,fact_text,audit_stratum,extracted_entities,active_entity_keys,independent_expected_entities,independent_precision_verdict,independent_recall_verdict,confidence,independent_notes
Qwen3-30B::10d9b85a::fact_16ff3b1ab8218b38,Qwen3-30B,10d9b85a,multi-session,fact_16ff3b1ab8218b38,The user asked whether Las Vegas has any plans for addressing the impact of climate change on its infrastructure and resources.,multi_session_active,Las Vegas | climate change | infrastructure | resources,climate_change | las_vegas,Las Vegas | climate change | infrastructure,PASS,PARTIAL,high,"The active entity keys 'climate_change' and 'las_vegas' are both supported by the fact and are useful long-term memory scopes. 'infrastructure' is a salient expected entity not covered by active keys, making recall PARTIAL. 'resources' is not a salient entity in this context and does not warrant active status. No unsupported or overly generic entities are present in active keys, so precision is PASS."
Qwen3-30B::60bf93ed::fact_3b690f0755d3ebcf,Qwen3-30B,60bf93ed,multi-session,fact_3b690f0755d3ebcf,"The assistant suggested a lemon garlic chicken breast recipe featuring a marinade of lemon juice, garlic, olive oil, thyme, and rosemary, served with roasted vegetables and quinoa.",multi_session_active,lemon garlic chicken breast | lemon juice | garlic | olive oil | thyme | rosemary | roasted vegetables | quinoa,lemon_juice | olive_oil,lemon garlic chicken breast | lemon juice | olive oil,PASS,PARTIAL,high,"The active entity keys 'lemon_juice' and 'olive_oil' are both supported by the fact and are useful long-term memory scopes. 'lemon garlic chicken breast' is a salient expected entity not currently active, which accounts for the partial recall. The other entities (garlic, thyme, rosemary, quinoa, roasted vegetables) are ingredients or components, not standalone reusable entities, so they are not expected entity scopes. No unsupported or overly generic entities are active, so precision is PASS."
Qwen3-30B::5025383b::fact_84e46e56603f3d56,Qwen3-30B,5025383b,multi-session,fact_84e46e56603f3d56,"The assistant invites the user to reflect on possible parallels between navigating different dimensions in The OA and navigating gender identity, suggesting a thematic link between interdimensional travel and gender self-discovery.",multi_session_active,The OA | interdimensional travel | gender identity,the_oa,The OA | interdimensional travel | gender identity,PASS,PARTIAL,high,"The active entity 'the_oa' is a valid and useful expected entity. 'interdimensional_travel' and 'gender_identity' are also salient expected entities supported by the fact, but they are not active, leading to partial recall. No spurious or unsupported entities are present in the active keys, so precision is PASS."
Qwen3-30B::d3ab962e::fact_afa6a5dfc4447d88,Qwen3-30B,d3ab962e,multi-session,fact_afa6a5dfc4447d88,"The user requested help breaking down their report into smaller, manageable tasks on September 24, 2022.",multi_session_active,report | task breakdown,task_breakdown,report | task breakdown,PASS,PARTIAL,high,"The active entity 'task_breakdown' is supported and useful. 'report' is a salient expected entity but is not active, resulting in partial recall. No spurious or overly generic entities are present, so precision is PASS. The date 'September 24, 2022' does not name a specific event, so it does not qualify as an expected entity."
Qwen3-30B::e6041065::fact_baa974f8a6f167eb,Qwen3-30B,e6041065,multi-session,fact_baa974f8a6f167eb,The user is planning a ski trip to Switzerland and is seeking recommendations on the best month for powder snow.,multi_session_active,Switzerland | ski trip,switzerland,Switzerland | ski trip | powder snow,PASS,PARTIAL,high,"The active entity 'switzerland' is supported and useful. 'ski trip' is a salient expected entity but not active, and 'powder snow' is a relevant concept tied to the query but not represented as an active entity. No spurious or overly generic entities are present, so precision is PASS. Recall is PARTIAL because one salient expected entity ('ski trip') is missing from active keys."
Qwen3-30B::gpt4_372c3eed::fact_bf1fbf73f9d30ed2,Qwen3-30B,gpt4_372c3eed,multi-session,fact_bf1fbf73f9d30ed2,"Spaghetti Bolognese is a classic Italian dish made with ground beef, onions, garlic, and canned tomatoes, served with spaghetti and parmesan cheese.",multi_session_active,Spaghetti Bolognese | ground beef | onions | garlic | canned tomatoes | spaghetti | parmesan cheese,parmesan_cheese,Spaghetti Bolognese | Parmesan Cheese | Spaghetti,PASS,PARTIAL,high,"The active entity 'parmesan_cheese' is supported and useful. However, 'Spaghetti Bolognese' and 'Spaghetti' are salient expected entities not currently active, so recall is only partial. No spurious or overly generic entities are active, so precision is PASS. The fact supports these three entities as reusable, named culinary items with long-term memory value."
Qwen3-30B::gpt4_ab202e7f::fact_62388abcd484dbc7,Qwen3-30B,gpt4_ab202e7f,multi-session,fact_62388abcd484dbc7,"The user asked the assistant for specific course recommendations on Coursera and edX related to entrepreneurship and startup development on May 20, 2023.",multi_session_active,Coursera | edX | The Lean Startup,coursera | edx,Coursera | edX | The Lean Startup,PASS,PARTIAL,high,"The active_entity_keys include 'coursera' and 'edx', both of which are expected entities and are supported by the fact. 'The Lean Startup' is a salient expected entity (a titled work) but is marked as 'lazy' rather than active, so it is not covered in the active keys. This results in partial recall. No spurious or unsupported entities are present in the active keys, so precision is PASS. The date 'May 20, 2023' is not a named event, so it does not qualify as an expected entity."
Qwen3-30B::gpt4_731e37d7::fact_11e9aa1fa0b6cd9d,Qwen3-30B,gpt4_731e37d7,multi-session,fact_11e9aa1fa0b6cd9d,"The assistant highlighted that loving-kindness meditation can build resilience, enabling the user to handle adversity with grace, compassion, and understanding.",multi_session_active,loving-kindness meditation | resilience | adversity,loving_kindness_meditation,loving-kindness meditation | resilience | adversity,PASS,PARTIAL,high,"The active entity 'loving_kindness_meditation' is a valid and useful expected entity. 'resilience' and 'adversity' are also salient expected entities supported by the fact, but only 'loving_kindness_meditation' is active. Thus, precision is PASS because the active key is supported and useful, but recall is PARTIAL because not all salient expected entities are covered."
Qwen3-30B::681a1674::fact_01e50c5e61acac47,Qwen3-30B,681a1674,multi-session,fact_01e50c5e61acac47,"The assistant recommended tri-tip for smoking, noting that smoke adds a rich, savory flavor to the beef, which pairs well with BBQ sauce.",multi_session_active,tri-tip | smoking | BBQ sauce,bbq_sauce,tri-tip | smoking | BBQ sauce,PASS,PARTIAL,high,"The active entity 'bbq_sauce' is a valid and useful expected entity. 'smoking' and 'tri-tip' are also salient expected entities supported by the fact, but only 'bbq_sauce' is active. Thus, precision is PASS because the active key is supported and useful, but recall is PARTIAL because not all salient expected entities are covered."
Qwen3-30B::gpt4_2f8be40d::fact_42f34d6bd4baaed1,Qwen3-30B,gpt4_2f8be40d,multi-session,fact_42f34d6bd4baaed1,The assistant advised using a calendar or reminder app such as Google Calendar or Apple Reminders to create recurring events for morning activities.,multi_session_active,Google Calendar | Apple Reminders,google_calendar,Google Calendar | Apple Reminders,PASS,PARTIAL,high,"The active entity 'google_calendar' is supported and useful. 'apple_reminders' is also a salient expected entity but is not active, resulting in partial recall. No spurious or overly generic entities are present, so precision is PASS."
Qwen3-30B::gpt4_f2262a51::fact_d54a5ea5225d3aa0,Qwen3-30B,gpt4_f2262a51,multi-session,fact_d54a5ea5225d3aa0,The assistant recommended creating a top-level 'Photos' folder in the cloud for organizing photography files.,multi_session_active,Photos | cloud storage,cloud_storage | photos,Photos | cloud storage,PASS,PASS,high,"Both 'cloud_storage' and 'photos' are explicitly supported by the fact and represent reusable, salient entities. The active keys match the expected entities precisely, with no spurious or overly generic entries. All salient expected entities are covered, and no irrelevant entities are included."
Qwen3-30B::gpt4_731e37d7::fact_fb3caa1089ee943d,Qwen3-30B,gpt4_731e37d7,multi-session,fact_fb3caa1089ee943d,The user experienced challenges catering to multiple dietary restrictions during a family trip to Hawaii in December 2022.,multi_session_active,Hawaii | family trip | dietary restrictions,hawaii,Hawaii | family trip | dietary restrictions,PASS,PARTIAL,high,"The active entity 'hawaii' is a valid and useful expected entity. However, 'family trip' and 'dietary restrictions' are salient expected entities that are not active, leading to partial recall. No spurious or unsupported entities are active, so precision is not compromised."
Qwen3-30B::60472f9c::fact_6e737e831e87b5a0,Qwen3-30B,60472f9c,multi-session,fact_6e737e831e87b5a0,"The assistant suggested specifying the application area by including keywords like 'tumor detection', 'disease diagnosis', 'image classification', 'segmentation', 'registration', and 'disease grading' in search queries.",multi_session_active,tumor detection | disease diagnosis | image classification | segmentation | registration | disease grading,disease_diagnosis | image_classification,disease diagnosis | image classification | tumor detection,PASS,PARTIAL,high,"The active_entity_keys 'disease_diagnosis' and 'image_classification' are both supported by the fact and are useful long-term memory scopes. 'tumor_detection' is a salient expected entity not currently active, which accounts for the PARTIAL recall. The other entities ('disease_grading', 'registration', 'segmentation') are relevant but not as central to the core suggestion about application areas. No spurious or overly generic keys are present, so precision is PASS."
Qwen3-30B::60bf93ed_abs::fact_9a7cd216c54857c3,Qwen3-30B,60bf93ed_abs,multi-session,fact_9a7cd216c54857c3,"The assistant listed the purchase of new bike lights as a $20 expense on January 25, 2023, under the transportation category.",multi_session_active,"bike lights | $20 | January 25, 2023",january_25_2023,"bike lights | January 25, 2023 | transportation",PASS,PARTIAL,high,"The active entity 'january_25_2023' is a valid and useful date entity that names a specific event (the purchase). However, 'bike lights' and 'transportation' are salient expected entities not covered by active keys, leading to partial recall. 'january_25_2023' is supported and useful, so precision is PASS. The expense amount '$20' is not an expected entity scope as it is a standalone number without reuse potential."
Qwen3-30B::a11281a2::fact_1512eea4dc2e0036,Qwen3-30B,a11281a2,multi-session,fact_1512eea4dc2e0036,The assistant suggests requesting a table that fits a group of 4 to 5 people and specifying preferences such as a quiet corner or a spot with natural light.,multi_session_active,table | quiet corner | natural light,natural_light,table | quiet corner | natural light,PASS,PARTIAL,high,"The active entity 'natural_light' is a valid and useful expected entity. 'quiet_corner' and 'table' are also salient expected entities supported by the fact, but they are not active. 'natural_light' is correctly identified as active, so precision is PASS. However, since not all salient expected entities are covered by active keys, recall is PARTIAL. No unsupported or overly generic entities are present in the active keys."
Qwen3-30B::d905b33f::fact_6658116121aaa14a,Qwen3-30B,d905b33f,multi-session,fact_6658116121aaa14a,"The user had a heated debate on Facebook during the previous week, which occurred approximately between May 23, 2023, and May 30, 2023.",multi_session_active,Facebook | heated debate,facebook,Facebook | heated debate,PASS,PARTIAL,high,"The entity 'Facebook' is a valid, reusable organization and is correctly active. 'Heated debate' is a reusable event-type concept and is semantically relevant, though it is marked as 'lazy' rather than 'active'. Since the fact describes a specific event (a debate on Facebook during a defined time window), 'heated debate' is a salient expected entity. However, it is not active, so recall is only partial. No other entities are salient. Precision is PASS because the active key 'facebook' is supported and useful."
Qwen3-30B::1c549ce4::fact_809cfc10a9258401,Qwen3-30B,1c549ce4,multi-session,fact_809cfc10a9258401,"The user expressed interest in watching documentaries on Netflix that focus on environmental issues, climate change, and sustainability on May 24, 2023.",multi_session_active,Netflix | documentaries | climate change | sustainability,netflix,Netflix | climate change | sustainability,PASS,PARTIAL,high,"The active entity 'netflix' is supported and useful. 'climate change' and 'sustainability' are salient expected entities not covered by active keys, so recall is partial. 'documentaries' is a category, not a specific entity, and thus not included as an expected entity scope. The date 'May 24, 2023' is not a named event, so it does not qualify as an expected entity."
