method,benchmark,slice,n,judge_error_questions,sample_count_hist,pass@1,pass@1_correct,pass@2,pass@2_correct,pass@3,pass@3_correct,pass@4,pass@4_correct,pass@5,pass@5_correct,pass@6,pass@6_correct,pass@7,pass@7_correct,pass@8,pass@8_correct
zep_local_gemma,locomo,cat1-4,1540,0,{'1': 1540},0.6201298701298701,955,0.6201298701298701,955,0.6201298701298701,955,0.6201298701298701,955,0.6201298701298701,955,0.6201298701298701,955,0.6201298701298701,955,0.6201298701298701,955
zep_local_gemma,locomo,cat5,446,0,{'1': 446},0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30
zep_local_gemma,locomo,category_1,282,0,{'1': 282},0.475177304964539,134,0.475177304964539,134,0.475177304964539,134,0.475177304964539,134,0.475177304964539,134,0.475177304964539,134,0.475177304964539,134,0.475177304964539,134
zep_local_gemma,locomo,category_2,321,0,{'1': 321},0.616822429906542,198,0.616822429906542,198,0.616822429906542,198,0.616822429906542,198,0.616822429906542,198,0.616822429906542,198,0.616822429906542,198,0.616822429906542,198
zep_local_gemma,locomo,category_3,96,0,{'1': 96},0.22916666666666666,22,0.22916666666666666,22,0.22916666666666666,22,0.22916666666666666,22,0.22916666666666666,22,0.22916666666666666,22,0.22916666666666666,22,0.22916666666666666,22
zep_local_gemma,locomo,category_4,841,0,{'1': 841},0.7146254458977408,601,0.7146254458977408,601,0.7146254458977408,601,0.7146254458977408,601,0.7146254458977408,601,0.7146254458977408,601,0.7146254458977408,601,0.7146254458977408,601
zep_local_gemma,locomo,category_5,446,0,{'1': 446},0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30,0.06726457399103139,30
zep_local_gemma,locomo,overall,1986,0,{'1': 1986},0.4959718026183283,985,0.4959718026183283,985,0.4959718026183283,985,0.4959718026183283,985,0.4959718026183283,985,0.4959718026183283,985,0.4959718026183283,985,0.4959718026183283,985
zep_local_gemma,longmemeval,knowledge-update,78,0,{'1': 78},0.8846153846153846,69,0.8846153846153846,69,0.8846153846153846,69,0.8846153846153846,69,0.8846153846153846,69,0.8846153846153846,69,0.8846153846153846,69,0.8846153846153846,69
zep_local_gemma,longmemeval,multi-session,133,0,{'1': 133},0.5263157894736842,70,0.5263157894736842,70,0.5263157894736842,70,0.5263157894736842,70,0.5263157894736842,70,0.5263157894736842,70,0.5263157894736842,70,0.5263157894736842,70
zep_local_gemma,longmemeval,overall,500,0,{'1': 500},0.668,334,0.668,334,0.668,334,0.668,334,0.668,334,0.668,334,0.668,334,0.668,334
zep_local_gemma,longmemeval,single-session-assistant,56,0,{'1': 56},0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54
zep_local_gemma,longmemeval,single-session-preference,30,0,{'1': 30},0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13
zep_local_gemma,longmemeval,single-session-user,70,0,{'1': 70},0.9142857142857143,64,0.9142857142857143,64,0.9142857142857143,64,0.9142857142857143,64,0.9142857142857143,64,0.9142857142857143,64,0.9142857142857143,64,0.9142857142857143,64
zep_local_gemma,longmemeval,temporal-reasoning,133,0,{'1': 133},0.48120300751879697,64,0.48120300751879697,64,0.48120300751879697,64,0.48120300751879697,64,0.48120300751879697,64,0.48120300751879697,64,0.48120300751879697,64,0.48120300751879697,64
zep_local_qwen30b,locomo,cat1-4,1540,0,{'1': 1540},0.675974025974026,1041,0.675974025974026,1041,0.675974025974026,1041,0.675974025974026,1041,0.675974025974026,1041,0.675974025974026,1041,0.675974025974026,1041,0.675974025974026,1041
zep_local_qwen30b,locomo,cat5,446,0,{'1': 446},0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51
zep_local_qwen30b,locomo,category_1,282,0,{'1': 282},0.4858156028368794,137,0.4858156028368794,137,0.4858156028368794,137,0.4858156028368794,137,0.4858156028368794,137,0.4858156028368794,137,0.4858156028368794,137,0.4858156028368794,137
zep_local_qwen30b,locomo,category_2,321,0,{'1': 321},0.5607476635514018,180,0.5607476635514018,180,0.5607476635514018,180,0.5607476635514018,180,0.5607476635514018,180,0.5607476635514018,180,0.5607476635514018,180,0.5607476635514018,180
zep_local_qwen30b,locomo,category_3,96,0,{'1': 96},0.53125,51,0.53125,51,0.53125,51,0.53125,51,0.53125,51,0.53125,51,0.53125,51,0.53125,51
zep_local_qwen30b,locomo,category_4,841,0,{'1': 841},0.8002378121284186,673,0.8002378121284186,673,0.8002378121284186,673,0.8002378121284186,673,0.8002378121284186,673,0.8002378121284186,673,0.8002378121284186,673,0.8002378121284186,673
zep_local_qwen30b,locomo,category_5,446,0,{'1': 446},0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51,0.11434977578475336,51
zep_local_qwen30b,locomo,overall,1986,0,{'1': 1986},0.5498489425981873,1092,0.5498489425981873,1092,0.5498489425981873,1092,0.5498489425981873,1092,0.5498489425981873,1092,0.5498489425981873,1092,0.5498489425981873,1092,0.5498489425981873,1092
zep_local_qwen30b,longmemeval,knowledge-update,78,0,{'1': 78},0.8076923076923077,63,0.8076923076923077,63,0.8076923076923077,63,0.8076923076923077,63,0.8076923076923077,63,0.8076923076923077,63,0.8076923076923077,63,0.8076923076923077,63
zep_local_qwen30b,longmemeval,multi-session,133,0,{'1': 133},0.48872180451127817,65,0.48872180451127817,65,0.48872180451127817,65,0.48872180451127817,65,0.48872180451127817,65,0.48872180451127817,65,0.48872180451127817,65,0.48872180451127817,65
zep_local_qwen30b,longmemeval,overall,500,0,{'1': 500},0.666,333,0.666,333,0.666,333,0.666,333,0.666,333,0.666,333,0.666,333,0.666,333
zep_local_qwen30b,longmemeval,single-session-assistant,56,0,{'1': 56},0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54
zep_local_qwen30b,longmemeval,single-session-preference,30,0,{'1': 30},0.5666666666666667,17,0.5666666666666667,17,0.5666666666666667,17,0.5666666666666667,17,0.5666666666666667,17,0.5666666666666667,17,0.5666666666666667,17,0.5666666666666667,17
zep_local_qwen30b,longmemeval,single-session-user,70,0,{'1': 70},0.9571428571428572,67,0.9571428571428572,67,0.9571428571428572,67,0.9571428571428572,67,0.9571428571428572,67,0.9571428571428572,67,0.9571428571428572,67,0.9571428571428572,67
zep_local_qwen30b,longmemeval,temporal-reasoning,133,0,{'1': 133},0.5037593984962406,67,0.5037593984962406,67,0.5037593984962406,67,0.5037593984962406,67,0.5037593984962406,67,0.5037593984962406,67,0.5037593984962406,67,0.5037593984962406,67
