qid,cutoff,question_type,question,gold_answer,generated_answer,strict_label,public_label,audit_group,selection_stratum,author_adjudicated_label,author_preferred_judge,author_error_type,author_notes
0a34ad58,200,single-session-preference,I’m a bit anxious about getting around Tokyo. Do you have any helpful tips?,"The user would prefer responses that utilize their existing resources, such as their Suica card and TripIt app, to provide personalized tips for navigating Tokyo's public transportation. They might not prefer general tips or recommendations that do not take into account their prior preparations.","Use Suica card, plan routes via TripIt, stay organized.",CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|single-session-preference,,,,
0e4e4c46,200,knowledge-update,What is my current highest score in Ticket to Ride?,132 points,124 points,WRONG,WRONG,agreement,k200|WRONG|WRONG|knowledge-update,,,,
1d4e3b97,200,single-session-preference,I noticed my bike seems to be performing even better during my Sunday group rides. Could there be a reason for this?,"The user would prefer responses that reference specific details from their previous interactions, such as the replacement of the bike's chain and cassette, and the use of a new Garmin bike computer. They might prefer explanations that connect these details to the observed improvement in bike performance. The user may not prefer responses that fail to acknowledge these specific details or provide vague, general explanations for the improvement.",Chain and cassette replaced on February 1st.,CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|single-session-preference,,,,
1da05512,200,single-session-preference,I'm trying to decide whether to buy a NAS device now or wait. What do you think?,"The user would prefer responses that take into account their current home network storage capacity issues and recent reliance on external hard drives, highlighting the potential benefits of a NAS device in addressing these specific needs. They might not prefer responses that ignore their current storage challenges or fail to consider their recent tech upgrades and priorities. Preferred responses would utilize the user's previous mentions of storage capacity issues and tech investments to inform their decision.",Consider buying now for immediate storage needs.,WRONG,WRONG,agreement,k200|WRONG|WRONG|single-session-preference,,,,
2698e78f_abs,200,knowledge-update,How often do I see Dr. Johnson?,The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,No information available.,CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|knowledge-update,,,,
29f2956b,200,single-session-user,How much time do I dedicate to practicing guitar every day?,30 minutes,30 minutes,CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|single-session-user,,,,
3fe836c9,200,multi-session,How much more was the pre-approval amount than the final sale price of the house?,"$25,000","$25,000",CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|multi-session,,,,
4100d0a0,200,single-session-user,What is my ethnicity?,A mix of Irish and Italian,Asian American,WRONG,WRONG,agreement,k200|WRONG|WRONG|single-session-user,,,,
46a3abf7,200,multi-session,"How many tanks do I currently have, including the one I set up for my friend's kid?",3,3 tanks,CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|multi-session,,,,
4dfccbf7,200,temporal-reasoning,How many days had passed since I started taking ukulele lessons when I decided to take my acoustic guitar to the guitar tech for servicing?,24 days. 25 days (including the last day) is also acceptable.,"1. Identify the start date of ukulele lessons:  
   - Memory 1 (2023-02-01 17:59:30): ""Just started taking ukulele lessons with friend Rachel""  
   → Start date: **2023-02-01**

2. Identify when the acoustic guitar was serviced:  
   - Memory 10 (2023-02-25 13:54:30): ""Had Taylor GS Mini serviced by Joe, action was high and causing discomfort in left hand""  
   → Service date: **2023-02-25**

3. Calculate the number of days between 2023-02-01 and 2023-02-25:  
   - From Feb 1 to Feb 25 = 24 days

4. Final answer:  
   → 24 days had passed.

Answer: 24 days",CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|temporal-reasoning,,,,
505af2f5,200,single-session-preference,I was thinking of trying a new coffee creamer recipe. Any recommendations?,"The user would prefer responses that suggest variations on their existing almond milk, vanilla extract, and honey creamer recipe or new ideas that align with their goals of reducing sugar intake and saving money. They might not prefer responses that recommend commercial creamer products or recipes that are high in sugar or expensive.","Almond milk, vanilla, honey",CORRECT,CORRECT,agreement,k200|CORRECT|CORRECT|single-session-preference,,,,
