method,benchmark,slice,n,judge_error_questions,sample_count_hist,pass@1,pass@1_correct,pass@2,pass@2_correct,pass@3,pass@3_correct,pass@4,pass@4_correct,pass@5,pass@5_correct,pass@6,pass@6_correct,pass@7,pass@7_correct,pass@8,pass@8_correct
zep_local_qwen4b,locomo,category_1,282,0,{'1': 282},0.3333333333333333,94,0.3333333333333333,94,0.3333333333333333,94,0.3333333333333333,94,0.3333333333333333,94,0.3333333333333333,94,0.3333333333333333,94,0.3333333333333333,94
zep_local_qwen4b,locomo,category_2,321,0,{'1': 321},0.3395638629283489,109,0.3395638629283489,109,0.3395638629283489,109,0.3395638629283489,109,0.3395638629283489,109,0.3395638629283489,109,0.3395638629283489,109,0.3395638629283489,109
zep_local_qwen4b,locomo,category_3,96,0,{'1': 96},0.28125,27,0.28125,27,0.28125,27,0.28125,27,0.28125,27,0.28125,27,0.28125,27,0.28125,27
zep_local_qwen4b,locomo,category_4,841,0,{'1': 841},0.7241379310344828,609,0.7241379310344828,609,0.7241379310344828,609,0.7241379310344828,609,0.7241379310344828,609,0.7241379310344828,609,0.7241379310344828,609,0.7241379310344828,609
zep_local_qwen4b,locomo,category_5,446,0,{'1': 446},0.10089686098654709,45,0.10089686098654709,45,0.10089686098654709,45,0.10089686098654709,45,0.10089686098654709,45,0.10089686098654709,45,0.10089686098654709,45,0.10089686098654709,45
zep_local_qwen4b,longmemeval,knowledge-update,78,0,{'1': 78},0.717948717948718,56,0.717948717948718,56,0.717948717948718,56,0.717948717948718,56,0.717948717948718,56,0.717948717948718,56,0.717948717948718,56,0.717948717948718,56
zep_local_qwen4b,longmemeval,multi-session,133,0,{'1': 133},0.42105263157894735,56,0.42105263157894735,56,0.42105263157894735,56,0.42105263157894735,56,0.42105263157894735,56,0.42105263157894735,56,0.42105263157894735,56,0.42105263157894735,56
zep_local_qwen4b,longmemeval,single-session-assistant,56,0,{'1': 56},0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54,0.9642857142857143,54
zep_local_qwen4b,longmemeval,single-session-preference,30,0,{'1': 30},0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13,0.43333333333333335,13
zep_local_qwen4b,longmemeval,single-session-user,70,0,{'1': 70},0.8714285714285714,61,0.8714285714285714,61,0.8714285714285714,61,0.8714285714285714,61,0.8714285714285714,61,0.8714285714285714,61,0.8714285714285714,61,0.8714285714285714,61
zep_local_qwen4b,longmemeval,temporal-reasoning,133,0,{'1': 133},0.38345864661654133,51,0.38345864661654133,51,0.38345864661654133,51,0.38345864661654133,51,0.38345864661654133,51,0.38345864661654133,51,0.38345864661654133,51,0.38345864661654133,51
