run_id,source_id,question_id,dataset_sha256,completed_at_utc,method,requests,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,cost_usd_20_messages,cost_usd_per_1k_messages,cost_efficiency_vs_zep_local
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T11:02:48.587303+00:00,MemForest,24,15360,7905,3723,26988,0.002192148,0.109607,4.962
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T11:02:48.587303+00:00,EverMemOS,28,3456,25699,3584,32739,0.004611057,0.230553,2.359
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T11:02:48.587303+00:00,Mem0,16,15616,4754,1224,21594,0.001052005,0.0526,10.339
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T11:02:48.587303+00:00,MemoryOS,36,1664,7733,2038,11435,0.001657919,0.082896,6.561
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T11:02:48.587303+00:00,Zep Local,145,47360,64771,5988,118119,0.010877188,0.543859,1.0
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T11:08:07.926466+00:00,MemForest,18,15232,6229,3154,24615,0.00179783,0.089891,6.076
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T11:08:07.926466+00:00,EverMemOS,26,3328,23821,3205,30354,0.004241658,0.212083,2.575
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T11:08:07.926466+00:00,Mem0,13,12672,4178,1160,18010,0.000945202,0.04726,11.557
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T11:08:07.926466+00:00,MemoryOS,34,1280,6552,1256,9088,0.001272544,0.063627,8.584
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T11:08:07.926466+00:00,Zep Local,142,45952,65778,5666,117396,0.010924066,0.546203,1.0
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T11:14:08.365731+00:00,MemForest,25,15744,8404,4054,28202,0.002355763,0.117788,4.979
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T11:14:08.365731+00:00,EverMemOS,26,3328,24204,3571,31103,0.004397758,0.219888,2.667
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T11:14:08.365731+00:00,Mem0,13,12672,4381,1439,18492,0.001051742,0.052587,11.153
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T11:14:08.365731+00:00,MemoryOS,38,2688,12223,4021,18932,0.002844626,0.142231,4.124
revision_deepseek_cost_probe_20260801_warmcache_v2_measured_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T11:14:08.365731+00:00,Zep Local,156,49664,69754,6520,125938,0.011730219,0.586511,1.0
