key,model,qid,question_type,fact_id,fact_text,audit_stratum,extracted_entities,active_entity_keys,has_active_entity,independent_expected_entities,independent_precision_verdict,independent_recall_verdict,confidence,independent_notes
Qwen3-30B::10d9b85a::fact_16ff3b1ab8218b38,Qwen3-30B,10d9b85a,multi-session,fact_16ff3b1ab8218b38,The user asked whether Las Vegas has any plans for addressing the impact of climate change on its infrastructure and resources.,multi_session_active,Las Vegas | climate change | infrastructure | resources,climate_change | las_vegas,True,Las Vegas | climate change | infrastructure,PASS,PARTIAL,high,"The active entity keys 'climate_change' and 'las_vegas' are both supported by the fact and are useful long-term memory scopes. 'infrastructure' is a salient expected entity mentioned in the fact but is not active (marked as 'lazy'), leading to partial recall. 'resources' is not a distinct expected entity in this context as it is a general category rather than a specific named entity or event. No unsupported or overly generic entities are active, so precision is PASS."
Qwen3-30B::60bf93ed::fact_3b690f0755d3ebcf,Qwen3-30B,60bf93ed,multi-session,fact_3b690f0755d3ebcf,"The assistant suggested a lemon garlic chicken breast recipe featuring a marinade of lemon juice, garlic, olive oil, thyme, and rosemary, served with roasted vegetables and quinoa.",multi_session_active,lemon garlic chicken breast | lemon juice | garlic | olive oil | thyme | rosemary | roasted vegetables | quinoa,lemon_juice | olive_oil,True,lemon garlic chicken breast | lemon juice | olive oil,PASS,PARTIAL,high,"The active entity keys 'lemon_juice' and 'olive_oil' are both supported by the fact and are useful long-term memory scopes. 'lemon garlic chicken breast' is a salient expected entity not currently active, which accounts for the partial recall. The other entities (garlic, thyme, rosemary, quinoa, roasted vegetables) are ingredients or components, not standalone reusable entities, so they are not expected entity scopes. No unsupported or overly generic keys are active, so precision is PASS."
Qwen3-30B::5025383b::fact_84e46e56603f3d56,Qwen3-30B,5025383b,multi-session,fact_84e46e56603f3d56,"The assistant invites the user to reflect on possible parallels between navigating different dimensions in The OA and navigating gender identity, suggesting a thematic link between interdimensional travel and gender self-discovery.",multi_session_active,The OA | interdimensional travel | gender identity,the_oa,True,The OA | interdimensional travel | gender identity,PASS,PARTIAL,high,"The active entity 'the_oa' is a valid and useful expected entity. 'interdimensional_travel' and 'gender_identity' are also salient expected entities but are not active, leading to partial recall. No spurious or unsupported keys are present, so precision is PASS. The fact explicitly supports all three entities as thematic anchors, justifying their inclusion as expected entities."
Qwen3-30B::d3ab962e::fact_afa6a5dfc4447d88,Qwen3-30B,d3ab962e,multi-session,fact_afa6a5dfc4447d88,"The user requested help breaking down their report into smaller, manageable tasks on September 24, 2022.",multi_session_active,report | task breakdown,task_breakdown,True,report | task breakdown,PASS,PARTIAL,high,"The active entity 'task_breakdown' is supported and useful. 'report' is a salient expected entity but is not active, so recall is partial. No spurious or overly generic keys are present, so precision is PASS. The date 'September 24, 2022' does not name a specific event, so it is not an expected entity."
Qwen3-30B::e6041065::fact_baa974f8a6f167eb,Qwen3-30B,e6041065,multi-session,fact_baa974f8a6f167eb,The user is planning a ski trip to Switzerland and is seeking recommendations on the best month for powder snow.,multi_session_active,Switzerland | ski trip,switzerland,True,Switzerland | ski trip | powder snow,PASS,PARTIAL,high,"The active entity 'switzerland' is supported and useful. 'ski trip' is a salient expected entity not covered by active keys, though it is semantically relevant. 'powder snow' is a salient expected entity (as a specific snow condition) but is not active. The absence of 'ski trip' and 'powder snow' in active keys reduces recall, but precision remains intact as the active key is valid and useful."
Qwen3-30B::gpt4_372c3eed::fact_bf1fbf73f9d30ed2,Qwen3-30B,gpt4_372c3eed,multi-session,fact_bf1fbf73f9d30ed2,"Spaghetti Bolognese is a classic Italian dish made with ground beef, onions, garlic, and canned tomatoes, served with spaghetti and parmesan cheese.",multi_session_active,Spaghetti Bolognese | ground beef | onions | garlic | canned tomatoes | spaghetti | parmesan cheese,parmesan_cheese,True,Spaghetti Bolognese | Parmesan Cheese | Spaghetti,PASS,PARTIAL,high,"The active entity 'parmesan_cheese' is a valid and useful expected entity. However, 'Spaghetti Bolognese' and 'Spaghetti'—both salient, reusable, and explicitly supported by the fact—are not active, leading to partial recall. The other entities (e.g., ground beef, onions, garlic, canned tomatoes) are ingredients and not expected entity scopes. No unsupported or overly generic entities are active, so precision is PASS."
Qwen3-30B::gpt4_ab202e7f::fact_62388abcd484dbc7,Qwen3-30B,gpt4_ab202e7f,multi-session,fact_62388abcd484dbc7,"The user asked the assistant for specific course recommendations on Coursera and edX related to entrepreneurship and startup development on May 20, 2023.",multi_session_active,Coursera | edX | The Lean Startup,coursera | edx,True,Coursera | edX | The Lean Startup,PASS,PARTIAL,high,"The active_entity_keys 'coursera' and 'edx' are both supported by the fact and are useful long-term memory scopes. 'The Lean Startup' is a salient expected entity (a titled work) but is marked as 'lazy' rather than 'active', so it is not included in active keys. This results in partial recall. No spurious or unsupported entities are present, so precision is PASS. The fact explicitly references the two platforms and the course title, making all three entities expected. The absence of 'the_lean_startup' in active keys reduces recall but does not affect precision."
Qwen3-30B::gpt4_731e37d7::fact_11e9aa1fa0b6cd9d,Qwen3-30B,gpt4_731e37d7,multi-session,fact_11e9aa1fa0b6cd9d,"The assistant highlighted that loving-kindness meditation can build resilience, enabling the user to handle adversity with grace, compassion, and understanding.",multi_session_active,loving-kindness meditation | resilience | adversity,loving_kindness_meditation,True,loving-kindness meditation | resilience | adversity,PASS,PARTIAL,high,"The active entity 'loving_kindness_meditation' is supported and useful. 'Resilience' and 'adversity' are salient expected entities in the fact but are not active, leading to partial recall. No spurious or overly generic entities are present, so precision is PASS. The fact centers on the meditative practice and its impact on handling adversity and building resilience, justifying all three as expected entities."
Qwen3-30B::681a1674::fact_01e50c5e61acac47,Qwen3-30B,681a1674,multi-session,fact_01e50c5e61acac47,"The assistant recommended tri-tip for smoking, noting that smoke adds a rich, savory flavor to the beef, which pairs well with BBQ sauce.",multi_session_active,tri-tip | smoking | BBQ sauce,bbq_sauce,True,tri-tip | smoking | BBQ sauce,PASS,PARTIAL,high,"The active entity 'bbq_sauce' is a valid and useful expected entity. 'smoking' and 'tri-tip' are also salient expected entities supported by the fact, but only 'bbq_sauce' is active. Thus, precision is PASS because the active key is supported and useful, but recall is PARTIAL because not all salient expected entities are covered."
Qwen3-30B::gpt4_2f8be40d::fact_42f34d6bd4baaed1,Qwen3-30B,gpt4_2f8be40d,multi-session,fact_42f34d6bd4baaed1,The assistant advised using a calendar or reminder app such as Google Calendar or Apple Reminders to create recurring events for morning activities.,multi_session_active,Google Calendar | Apple Reminders,google_calendar,True,Google Calendar | Apple Reminders,PASS,PARTIAL,high,"The active entity 'google_calendar' is supported and useful. 'apple_reminders' is also a salient expected entity but is not active, resulting in partial recall. No spurious or overly generic entities are present, so precision is PASS."
Qwen3-30B::gpt4_f2262a51::fact_d54a5ea5225d3aa0,Qwen3-30B,gpt4_f2262a51,multi-session,fact_d54a5ea5225d3aa0,The assistant recommended creating a top-level 'Photos' folder in the cloud for organizing photography files.,multi_session_active,Photos | cloud storage,cloud_storage | photos,True,Photos | cloud storage,PASS,PASS,high,"Both 'cloud_storage' and 'photos' are explicitly supported by the fact and represent reusable, salient entities. The active keys match the expected entities precisely, with no spurious or overly generic entries. All expected entities are covered, and no irrelevant entities are included."
