key,benchmark,question,gold_answer,selection_reason,double_label_required,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,proposed_label_valid,independent_gold_conflict_overlap,confidence,model_assisted_fully_upheld,author_signoff_required,independent_notes
locomo::conv-26_qa000,locomo,When did Caroline go to the LGBTQ support group?,7 May 2023,expanded_union:codex_assisted_llm,true,historical-state,historical-state,item_cce5d0eb8d8114b3,item_cce5d0eb8d8114b3,,,True,True,True,True,,high,True,False,"The gold fact directly states Caroline attended the LGBTQ support group on 7 May 2023, matching the gold answer. No other fact contradicts this date for the same event. All other facts are about different events or later dates, so no conflict exists. The question asks for a specific past date, fitting historical-state."
locomo::conv-26_qa001,locomo,When did Melanie paint a sunrise?,2022,expanded_union:codex_assisted_llm,true,historical-state,historical-state,item_be66172825f81ac7,item_be66172825f81ac7,,,True,True,True,True,,high,True,False,"The gold fact directly states Melanie painted a lake sunrise painting in 2022, matching the gold answer. No other facts contradict this specific event or date. All other facts are about unrelated activities or different time periods. No conflicts exist."
locomo::conv-26_qa005,locomo,When did Melanie run a charity race?,The sunday before 25 May 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_40b7514adcacb5be;item_e0449e62f84ba13d,item_e0449e62f84ba13d,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise date: the Sunday before 25 May 2023, which is 21 May 2023. Fact item_e0449e62f84ba13d states Melanie participated in a charity race on May 20, 2023, which is the closest available date. The other fact (item_40b7514adcacb5be) mentions May 25, 2023, and is not relevant to the race. No conflicting facts about the race date exist. The task requires a single dated event, so 'historical-state' is appropriate."
locomo::conv-26_qa006,locomo,When is Melanie planning on going camping?,June 2023,mixed_method_outcomes,false,historical-state,historical-state,fact_7c922be24c2f9a44;fact_f9899f79b5e09ab1;item_17b976e7a43b14f0;item_8b4ba81920923d5f;item_946af971a3dd8672,fact_7c922be24c2f9a44;fact_f9899f79b5e09ab1;item_17b976e7a43b14f0;item_8b4ba81920923d5f;item_946af971a3dd8672,,,True,True,True,True,,high,True,False,The gold facts directly support June 2023 as the planned camping time. Conflicts are absent as no facts contradict the target event with incompatible dates. The temporal type 'historical-state' is appropriate for a single specified time. All gold IDs are valid and relevant; no conflicts exist.
locomo::conv-26_qa008,locomo,When did Caroline give a speech at a school?,The week before 9 June 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_0d3c8da65815c828;item_5dc971dc37406abc,item_0d3c8da65815c828;item_5dc971dc37406abc,,,False,True,True,True,,high,False,True,"The gold facts directly support the week before 9 June 2023. Fact item_5dc971dc37406abc specifies the school speech during the week of June 2, 2023, and item_0d3c8da65815c828 confirms support on June 9, 2023, consistent with the timeline. No conflicting facts about the event's timing exist. The question asks for a specific time frame, fitting historical-state. No ordering, duration, or current-vs-old elements are required."
locomo::conv-26_qa009,locomo,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_18fcc39bd471228e;item_4ea06700dab4f234,item_4ea06700dab4f234,,item_6b670e85d715c2c6,False,False,False,True,,high,False,True,"The gold fact (item_4ea06700dab4f234) directly states Caroline met friends/family/mentors last week (June 2, 2023), aligning with the gold answer (week before June 9, 2023). The conflict (item_6b670e85d715c2c6) claims a picnic on June 29, 2023, which contradicts the target event's timing. Other facts are either irrelevant or not conflicting. Ordering is not required as the question asks for a specific time, not sequence."
locomo::conv-26_qa010,locomo,How long has Caroline had her current group of friends for?,4 years,expanded_union:codex_assisted_llm,true,duration,duration,item_e78fa03e4f9e68db,item_e78fa03e4f9e68db,,,True,True,True,True,,high,True,False,"The gold fact directly states Caroline has known her friends for 4 years since moving (approx. 2019), aligning with the gold answer. No conflicting facts about the duration exist. Other facts are topical but not temporally contradictory. Duration is appropriate as the question asks for elapsed time."
locomo::conv-26_qa012,locomo,How long ago was Caroline's 18th birthday?,10 years ago,expanded_union:codex_assisted_llm,false,duration,duration,item_36fb4f46578eab27,item_36fb4f46578eab27,,,True,True,True,True,,high,True,False,"The gold fact directly states Caroline's 18th birthday was ten years ago (approx. June 2013), aligning with the gold answer of '10 years ago'. No conflicting facts about the birthday date exist. The question requires interval arithmetic from a known past event to the reference date, confirming duration. All other facts are irrelevant to the birthday timing."
locomo::conv-26_qa016,locomo,When did Melanie sign up for a pottery class?,2 July 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_3e686b61cd50c287,item_3e686b61cd50c287,,,True,True,True,True,,high,True,False,"The gold fact directly states Melanie signed up for a pottery class on 2 July 2023, matching the gold answer. No other facts contradict this date for the same event. All other facts are about later dates or unrelated topics. No conflicts exist. The label 'historical-state' is appropriate as it involves a single, directly stated past event."
locomo::conv-26_qa017,locomo,When is Caroline going to the transgender conference?,July 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_5d5ad055ca0fc1b0;item_b3ecb2047dea8859,item_5d5ad055ca0fc1b0;item_b3ecb2047dea8859,,,True,True,True,True,,high,True,False,"The gold facts directly state Caroline's plan to attend the conference in July 2023, aligning with the gold answer. No conflicting facts about the event date exist. Other facts are about unrelated events or personal details. The temporal type 'historical-state' is appropriate for a single, specified past event with no comparison or arithmetic needed."
