key,benchmark,question,gold_answer,selection_reason,double_label_required,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,proposed_label_valid,independent_gold_conflict_overlap,confidence,model_assisted_fully_upheld,author_signoff_required,independent_notes,author_temporal_type,author_gold_fact_ids,author_conflict_fact_ids,author_notes
locomo::conv-26_qa005,locomo,When did Melanie run a charity race?,The sunday before 25 May 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_40b7514adcacb5be;item_e0449e62f84ba13d,item_e0449e62f84ba13d,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise date: the Sunday before 25 May 2023, which is 21 May 2023. Fact item_e0449e62f84ba13d states Melanie participated in a charity race on May 20, 2023, which is the closest available date. The other fact (item_40b7514adcacb5be) mentions May 25, 2023, and is not relevant to the race. No conflicting facts about the race date exist. The task requires a single dated event, so 'historical-state' is appropriate.",,,,
locomo::conv-26_qa008,locomo,When did Caroline give a speech at a school?,The week before 9 June 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_0d3c8da65815c828;item_5dc971dc37406abc,item_0d3c8da65815c828;item_5dc971dc37406abc,,,False,True,True,True,,high,False,True,"The gold facts directly support the week before 9 June 2023. Fact item_5dc971dc37406abc specifies the school speech during the week of June 2, 2023, and item_0d3c8da65815c828 confirms support on June 9, 2023, consistent with the timeline. No conflicting facts about the event's timing exist. The question asks for a specific time frame, fitting historical-state. No ordering, duration, or current-vs-old elements are required.",,,,
locomo::conv-26_qa009,locomo,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_18fcc39bd471228e;item_4ea06700dab4f234,item_4ea06700dab4f234,,item_6b670e85d715c2c6,False,False,False,True,,high,False,True,"The gold fact (item_4ea06700dab4f234) directly states Caroline met friends/family/mentors last week (June 2, 2023), aligning with the gold answer (week before June 9, 2023). The conflict (item_6b670e85d715c2c6) claims a picnic on June 29, 2023, which contradicts the target event's timing. Other facts are either irrelevant or not conflicting. Ordering is not required as the question asks for a specific time, not sequence.",,,,
locomo::conv-26_qa021,locomo,When did Caroline have a picnic?,The week before 6 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_372e6b569de81eca;item_6b670e85d715c2c6,item_6b670e85d715c2c6,,,False,False,True,True,,high,False,True,"The gold answer specifies a time window (week before 6 July 2023). Fact 'item_6b670e85d715c2c6' directly states the picnic occurred last week (~29 June 2023), aligning with the gold. Fact 'item_372e6b569de81eca' (July 6, 2023) is about a support network, not the picnic, and is not a direct match. No conflicting facts exist. The task is a direct lookup of a past event, fitting 'historical-state'.",,,,
locomo::conv-26_qa028,locomo,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_38a035adb31309c2,item_38a035adb31309c2,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline attended the adoption meeting on July 8, 2023, which matches the gold answer (Friday before July 15, 2023). No conflicting facts about the same event exist. Other facts are either about unrelated events or use vague time references. The task requires a single dated event, so 'historical-state' is correct.",,,,
locomo::conv-26_qa029,locomo,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_164dda73ac42af10;item_c959000c4a56855a,item_164dda73ac42af10;item_c959000c4a56855a,,,False,True,True,True,,high,False,True,"Both gold facts state Melanie attended a pottery workshop on July 14, 2023, which is the Friday before July 15, 2023, matching the gold answer. No conflicting facts about the event date exist. The question asks for a specific date, fitting historical-state. Other facts are irrelevant or describe later events.",,,,
locomo::conv-26_qa031,locomo,When did Melanie go camping in June?,The week before 27 June 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_8b4ba81920923d5f;item_a567a9ea6c3ff570,item_8b4ba81920923d5f;item_946af971a3dd8672,,,False,False,True,True,,high,False,True,"The gold facts directly support the answer: Melanie's camping trip occurred last week (June 20, 2023), aligning with 'the week before 27 June 2023'. The second gold fact confirms the trip was on or before June 27, 2023. No conflicting facts exist. The question asks for a specific time, not order, duration, or comparison. Thus, 'historical-state' is correct.",,,,
locomo::conv-26_qa033,locomo,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,all_methods_wrong,true,ordering,historical-state,fact_ba5acf052684d52a;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a;item_fe103ffec1779d2c,fact_b834b05e92f34175;item_23e23ba9523baef1;item_58fb396e63b8bf71;item_720150345fbdcd9a,fact_523d713d3e2be542;fact_b834b05e92f34175;fact_e7f6594ecc99d348;item_185007f7fbdca15b,fact_e7f6594ecc99d348;item_185007f7fbdca15b,False,False,False,True,,high,False,True,"Gold facts identify Caroline's attendance at a pride parade in late June 2023, aligning with 'the week before 3 July 2023'. Conflict facts (August 11, 2023; 'last Friday') contradict this. Other facts are irrelevant or not conflicting. Proposed type 'ordering' is incorrect; this is a historical-state query.",,,,
locomo::conv-26_qa035,locomo,When did Melanie go camping in July?,two weekends before 17 July 2023,mixed_method_outcomes,false,ordering,duration,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_cfce2eacbb288889;item_f7e7b2e7c54fb750,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_f7e7b2e7c54fb750,,item_744c156fbf131bd2;item_8b4ba81920923d5f;item_946af971a3dd8672,False,False,False,True,,high,False,True,"Gold facts directly support 'two weekends before 17 July 2023' (approx. July 3). Conflict facts (e.g., June 20, July 6) contradict this timeline. 'Every summer' and 'a few weeks prior to Sept 13' are irrelevant. Duration is correct: interval arithmetic from July 17 to July 3. Ordering is not required.",,,,
locomo::conv-26_qa036,locomo,When did Caroline join a mentorship program?,The weekend before 17 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_adb2785b19ff6b2f,item_adb2785b19ff6b2f,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline joined the mentorship program during the weekend of July 15-16, 2023, aligning with the gold answer of 'the weekend before 17 July 2023'. No conflicting facts about the same event exist. Other facts are either irrelevant or describe different events. The temporal type is correctly historical-state, not ordering.",,,,
