benchmark,qid,question,gold_answer,reference_date,manual_temporal_type,gold_fact_ids,conflict_fact_ids,annotation_source,adjudication_provenance,author_notes
locomo,conv-26_qa000,When did Caroline go to the LGBTQ support group?,7 May 2023,2023/10/22 (Sun) 09:55,historical-state,item_cce5d0eb8d8114b3,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa001,When did Melanie paint a sunrise?,2022,2023/10/22 (Sun) 09:55,historical-state,item_be66172825f81ac7,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa006,When is Melanie planning on going camping?,June 2023,2023/10/22 (Sun) 09:55,historical-state,item_17b976e7a43b14f0;item_8b4ba81920923d5f;item_946af971a3dd8672;fact_f9899f79b5e09ab1;fact_7c922be24c2f9a44,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa008,When did Caroline give a speech at a school?,The week before 9 June 2023,2023/10/22 (Sun) 09:55,historical-state,item_5dc971dc37406abc,,hybrid_author_adjudicated,author_custom,The school-speech fact directly supplies the requested week; the June 9 support fact is context only.
locomo,conv-26_qa009,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,2023/10/22 (Sun) 09:55,historical-state,item_4ea06700dab4f234,,hybrid_author_adjudicated,author_custom,"The picnic is a separate later event, not a conflict with this meetup."
locomo,conv-26_qa010,How long has Caroline had her current group of friends for?,4 years,2023/10/22 (Sun) 09:55,duration,item_e78fa03e4f9e68db,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa012,How long ago was Caroline's 18th birthday?,10 years ago,2023/10/22 (Sun) 09:55,duration,item_36fb4f46578eab27,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa016,When did Melanie sign up for a pottery class?,2 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_3e686b61cd50c287,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa017,When is Caroline going to the transgender conference?,July 2023,2023/10/22 (Sun) 09:55,historical-state,item_5d5ad055ca0fc1b0;item_b3ecb2047dea8859,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa020,When did Melanie go to the museum?,5 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_dc86a3eae08d4a16,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa021,When did Caroline have a picnic?,The week before 6 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_6b670e85d715c2c6,,hybrid_author_adjudicated,author_custom,Only the picnic fact directly supports the requested event and week.
locomo,conv-26_qa025,When did Caroline go to the LGBTQ conference?,10 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_055262b56b9f47ff,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa026,"When did Melanie read the book ""nothing is impossible""?",2022,2023/10/22 (Sun) 09:55,historical-state,item_20ede2c254ad195c,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa029,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_164dda73ac42af10;item_c959000c4a56855a,,hybrid_author_adjudicated,author_accepted_independent,Both selected facts directly describe the July 14 pottery workshop.
locomo,conv-26_qa031,When did Melanie go camping in June?,The week before 27 June 2023,2023/10/22 (Sun) 09:55,historical-state,item_8b4ba81920923d5f,,hybrid_author_adjudicated,author_custom,This fact directly dates the June camping trip; the other candidates are only bounds or unrelated context.
locomo,conv-26_qa033,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,2023/10/22 (Sun) 09:55,historical-state,fact_b834b05e92f34175;item_23e23ba9523baef1;item_58fb396e63b8bf71;item_720150345fbdcd9a,,hybrid_author_adjudicated,author_custom,August parade facts concern a different event and are not conflicts.
locomo,conv-26_qa035,When did Melanie go camping in July?,two weekends before 17 July 2023,2023/10/22 (Sun) 09:55,historical-state,fact_59383566d0785003;item_6b42e8d965aa32a8;item_c0289b89f98f7268,,hybrid_author_adjudicated,author_custom,These facts support the early-July family camping trip; June and later camping trips are separate events.
locomo,conv-26_qa036,When did Caroline join a mentorship program?,The weekend before 17 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_adb2785b19ff6b2f,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly dates the mentorship-program event.
locomo,conv-26_qa041,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,2023/10/22 (Sun) 09:55,historical-state,item_1032833a730fe25d,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly dates joining the activist group.
locomo,conv-26_qa044,When is Melanie's daughter's birthday?,13 August,2023/10/22 (Sun) 09:55,historical-state,item_01242499a43c2fbc,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa045,When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,2023/10/22 (Sun) 09:55,historical-state,item_185007f7fbdca15b,,hybrid_author_adjudicated,author_custom,The August 14 photo is not evidence of a competing parade date.
locomo,conv-26_qa049,When did Caroline and Melanie go to a pride fesetival together?,2022,2023/10/22 (Sun) 09:55,historical-state,item_2ac4c1b051c1d4f7,item_185007f7fbdca15b;item_1a404d160252b4aa;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa053,When did Caroline apply to adoption agencies?,The week of 23 August 2023,2023/10/22 (Sun) 09:55,historical-state,item_df8b1a52dfd9a15d,item_38a035adb31309c2;item_a8c6382365304358;item_dffd7713963a98cc;item_e84fee0011e005c5,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa054,When did Caroline draw a self-portrait?,The week before 23 August 2023,2023/10/22 (Sun) 09:55,historical-state,item_fc87971ce2054a05,,hybrid_author_adjudicated,author_custom,The self-portrait fact directly supports the answer; adoption-group activity is unrelated.
locomo,conv-26_qa057,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,2023/10/22 (Sun) 09:55,historical-state,item_b29fa4d5d3ad5846;item_eecf1f7d27962e96,,hybrid_author_adjudicated,author_custom,Both facts describe the negative hiking encounter in the target week; unrelated August activities are not conflicts.
locomo,conv-26_qa058,When did Melanie make a plate in pottery class?,24 August 2023,2023/10/22 (Sun) 09:55,historical-state,item_528f75ae8cee2a63,item_0447e5ee5b5975d9;item_15ce6235af991a84;item_164dda73ac42af10;item_5ce74d620751c5bc,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa062,When did Melanie go to the park?,27 August 2023,2023/10/22 (Sun) 09:55,historical-state,item_7bffa60b88f80ca3,item_e1055f248235c851,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa063,When is Caroline's youth center putting on a talent show?,September 2023,2023/10/22 (Sun) 09:55,historical-state,item_c8e4f6154eb361f8,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa067,When did Caroline go biking with friends?,The weekend before 13 September 2023,2023/10/22 (Sun) 09:55,historical-state,item_baa104450a368360,,hybrid_author_adjudicated,author_custom,Only the biking fact directly supports the answer.
