key,question,gold_answer,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,temporal_type_valid,gold_ids_valid,conflict_ids_valid,proposed_label_valid,confidence,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,independent_gold_conflict_overlap,author_signoff_required,independent_notes
locomo::conv-26_qa006,When is Melanie planning on going camping?,June 2023,historical-state,historical-state,fact_7c922be24c2f9a44;fact_f9899f79b5e09ab1;item_17b976e7a43b14f0;item_8b4ba81920923d5f;item_946af971a3dd8672,fact_7c922be24c2f9a44;fact_f9899f79b5e09ab1;item_17b976e7a43b14f0;item_8b4ba81920923d5f;item_946af971a3dd8672,,,True,True,True,True,high,True,True,True,,False,"Gold facts consistently state Melanie plans camping in June 2023, aligning with the gold answer. Conflicts are absent as no fact contradicts the target event with an incompatible date. All gold facts are relevant and directly support the answer. No conflicting temporal claims exist."
locomo::conv-26_qa033,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,ordering,historical-state,fact_ba5acf052684d52a;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a;item_fe103ffec1779d2c,fact_ba5acf052684d52a;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a;item_fe103ffec1779d2c,fact_523d713d3e2be542;fact_b834b05e92f34175;fact_e7f6594ecc99d348;item_185007f7fbdca15b,fact_523d713d3e2be542;fact_b834b05e92f34175;fact_e7f6594ecc99d348;item_185007f7fbdca15b,True,True,True,True,high,False,True,True,,True,"Gold facts consistently identify Caroline attending a pride parade in late June 2023, aligning with 'the week before 3 July 2023'. Conflicts involve later dates (August 11, July 17) or vague references (a few weeks before July 15). No ordering or current-vs-old comparison is needed. All facts are about the same event (Caroline's pride parade attendance), with conflicting dates. The correct temporal type is historical-state."
locomo::conv-26_qa035,When did Melanie go camping in July?,two weekends before 17 July 2023,ordering,ordering,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_cfce2eacbb288889;item_f7e7b2e7c54fb750,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_f7e7b2e7c54fb750,,item_744c156fbf131bd2;item_8b4ba81920923d5f;item_946af971a3dd8672,True,True,True,True,high,True,False,False,,True,"Gold facts directly support 'two weekends before July 17, 2023' (around July 3). Conflict facts (June 20, July 15, and late August) contradict the target date. 'Every summer' and 'a few weeks prior to September' are irrelevant. 'On or before July 15' aligns with gold. 'Last week (June 20)' conflicts. 'July 6' is inconsistent with gold. 'July 17' facts are irrelevant. Only 5 gold and 3 conflict facts needed; others are irrelevant."
locomo::conv-26_qa072,When did Melanie's friend adopt a child?,2022,historical-state,historical-state,item_d18437e0f9b17e16,item_d18437e0f9b17e16,,,True,True,True,True,high,True,True,True,,False,"The gold fact directly states the adoption occurred in 2022, matching the gold answer. No conflicting facts about the adoption date exist. Other facts are about relationships, personal preferences, or future intentions, not the adoption event. The temporal type 'historical-state' is appropriate for a single dated event without comparison or ordering."
locomo::conv-26_qa080,When did Melanie buy the figurines?,21 October 2023,historical-state,historical-state,item_caa7ad558dfe5452,item_caa7ad558dfe5452,,,True,True,True,True,high,True,True,True,,False,"The gold fact directly states the purchase date of the figurines on October 21, 2023, matching the gold answer. No other facts contradict this date or target event. All other facts are either irrelevant or describe unrelated events. The temporal type 'historical-state' is appropriate for a single, directly stated past event."
locomo::conv-30_qa001,When Gina has lost her job at Door Dash?,"January, 2023",historical-state,historical-state,fact_03840a30c498df4a;fact_be790bf9299ed511;item_5560d4f79a42f585;item_90b00fbf318eb64b;item_e8f80971459da560,fact_03840a30c498df4a;fact_be790bf9299ed511;item_5560d4f79a42f585;item_90b00fbf318eb64b;item_e8f80971459da560,fact_f17676b08e882eb7;item_a491e4a8845f4fa5,fact_f17676b08e882eb7;item_a491e4a8845f4fa5,True,True,True,True,high,True,True,True,,False,"Gold facts consistently state Gina lost her job at DoorDash in January 2023. Conflicts state March 16, 2023, contradicting the gold answer. No need for ordering or current-vs-old; the target is a single past event. All IDs align with fact text and target event."
locomo::conv-30_qa006,When is Jon's group performing at a festival?,"February, 2023",historical-state,historical-state,fact_f580dec1e593b2e7;item_6d46b882577294f2;item_f711c76c30005b17,fact_f580dec1e593b2e7;item_6d46b882577294f2;item_f711c76c30005b17,fact_6cb1ba90cd0da942;fact_c107f3db35b3f538;fact_e8bd6741a5380927;item_d41fdf3d095c86d3,fact_6cb1ba90cd0da942;fact_c107f3db35b3f538;fact_e8bd6741a5380927;item_d41fdf3d095c86d3,True,True,True,True,high,True,True,True,,False,"Gold facts confirm February 2023 festival performance via choreography and recent activity. Conflict facts reference January 2023 events, contradicting the gold answer. Irrelevant facts (e.g., job loss, passion) are excluded. Temporal type 'historical-state' is appropriate for a single specified date."
locomo::conv-30_qa011,When did Gina get her tattoo?,A few years ago,historical-state,historical-state,item_b596c2dbd1216843,item_b596c2dbd1216843,,,True,True,True,True,high,True,True,True,,False,The gold fact directly supports 'a few years ago' relative to 2023. No conflicting dates or states are present. Other facts are topical but not temporally contradictory. The label 'historical-state' is appropriate as the query asks for a past event with a vague temporal reference.
locomo::conv-41_qa004,When did John join the online support group?,The week before 1 January 2023,ordering,historical-state,fact_6317611ef7de1457;fact_db5ae59dae3b7b7b;fact_fef91a941cc49654;item_28bafbba515712b5;item_97a6a1b39b40c1b6,fact_6317611ef7de1457;fact_db5ae59dae3b7b7b;fact_fef91a941cc49654;item_28bafbba515712b5;item_97a6a1b39b40c1b6,fact_7e3d4beb1e0bebc2;fact_d135012e3fe23b10;item_1ff65c7c017d9918;item_3bb485624af07eb9;item_8b8d45251ddac017,fact_7e3d4beb1e0bebc2;item_1ff65c7c017d9918;item_3bb485624af07eb9;item_8b8d45251ddac017,True,True,True,True,high,False,True,False,,True,"Gold facts directly support John joining the group in late December 2022. Conflict facts mention August 2023 invitations and membership, which contradict the late December 2022 timeline. The question asks for a specific time, not ordering or comparison. The proposed 'ordering' type is incorrect; 'historical-state' fits best."
locomo::conv-41_qa005,When did Maria go to the beach?,December 2022,historical-state,historical-state,fact_ade860b7279df896;item_ca6c8520281a89bd,fact_ade860b7279df896;item_ca6c8520281a89bd,,,True,True,True,True,high,True,True,True,,False,"The gold facts directly confirm Maria's beach visit in December 2022, matching the gold answer. No conflicting facts about the same event with incompatible dates exist. Other facts describe later events or unrelated topics. The label 'historical-state' is appropriate as the task is a direct lookup of a past event."
