qid,cutoff,judge_arm,question_type,question,gold_answer,generated_answer,correct_votes,majority_label
001be529,50,public,single-session-user,How long did I wait for the decision on my asylum application?,over a year,Over a year,3,CORRECT
001be529,50,strict,single-session-user,How long did I wait for the decision on my asylum application?,over a year,Over a year,3,CORRECT
001be529,200,public,single-session-user,How long did I wait for the decision on my asylum application?,over a year,Over a year,3,CORRECT
001be529,200,strict,single-session-user,How long did I wait for the decision on my asylum application?,over a year,Over a year,3,CORRECT
00ca467f,50,public,multi-session,How many doctor's appointments did I go to in March?,2,"1. March 3rd: Dr. Smith (bronchitis diagnosis)  
2. March 20th: Dr. Thompson (follow-up appointment)  
3. March 25th: Not an appointment, but start of physical therapy  
4. April 1st: Scheduled EMG test (not in March)  

Only two appointments occurred in March:  
- March 3rd with Dr. Smith  
- March 20th with Dr. Thompson  

Answer: 2 appointments",3,CORRECT
00ca467f,50,strict,multi-session,How many doctor's appointments did I go to in March?,2,"1. March 3rd: Dr. Smith (bronchitis diagnosis)  
2. March 20th: Dr. Thompson (follow-up appointment)  
3. March 25th: Not an appointment, but start of physical therapy  
4. April 1st: Scheduled EMG test (not in March)  

Only two appointments occurred in March:  
- March 3rd with Dr. Smith  
- March 20th with Dr. Thompson  

Answer: 2 appointments",3,CORRECT
00ca467f,200,public,multi-session,How many doctor's appointments did I go to in March?,2,"March 3, 20, and 25",0,WRONG
00ca467f,200,strict,multi-session,How many doctor's appointments did I go to in March?,2,"March 3, 20, and 25",0,WRONG
0100672e,50,public,multi-session,How much did I spend on each coffee mug for my coworkers?,$12,"$60 total, not per mug",0,WRONG
0100672e,50,strict,multi-session,How much did I spend on each coffee mug for my coworkers?,$12,"$60 total, not per mug",0,WRONG
0100672e,200,public,multi-session,How much did I spend on each coffee mug for my coworkers?,$12,"$60 total, but number of mugs not specified.",0,WRONG
0100672e,200,strict,multi-session,How much did I spend on each coffee mug for my coworkers?,$12,"$60 total, but number of mugs not specified.",0,WRONG
01493427,50,public,knowledge-update,How many new postcards have I added to my collection since I started collecting again?,25,8 postcards,0,WRONG
01493427,50,strict,knowledge-update,How many new postcards have I added to my collection since I started collecting again?,25,8 postcards,0,WRONG
01493427,200,public,knowledge-update,How many new postcards have I added to my collection since I started collecting again?,25,8 postcards,0,WRONG
01493427,200,strict,knowledge-update,How many new postcards have I added to my collection since I started collecting again?,25,8 postcards,0,WRONG
031748ae,50,public,knowledge-update,How many engineers do I lead when I just started my new role as Senior Software Engineer? How many engineers do I lead now?,"When you just started your new role as Senior Software Engineer, you led 4 engineers. Now, you lead 5 engineers","4 engineers, 5 engineers",3,CORRECT
031748ae,50,strict,knowledge-update,How many engineers do I lead when I just started my new role as Senior Software Engineer? How many engineers do I lead now?,"When you just started your new role as Senior Software Engineer, you led 4 engineers. Now, you lead 5 engineers","4 engineers, 5 engineers",3,CORRECT
031748ae,200,public,knowledge-update,How many engineers do I lead when I just started my new role as Senior Software Engineer? How many engineers do I lead now?,"When you just started your new role as Senior Software Engineer, you led 4 engineers. Now, you lead 5 engineers","4 engineers, 5 engineers",3,CORRECT
031748ae,200,strict,knowledge-update,How many engineers do I lead when I just started my new role as Senior Software Engineer? How many engineers do I lead now?,"When you just started your new role as Senior Software Engineer, you led 4 engineers. Now, you lead 5 engineers","4 engineers, 5 engineers",3,CORRECT
031748ae_abs,50,public,knowledge-update,How many engineers do I lead when I just started my new role as Software Engineer Manager?,The information provided is not enough. You mentioned starting the role as Senior Software Engineer but not Software Engineer Manager.,5 engineers,0,WRONG
