key,benchmark,qid,question,gold_answer,exclusion_reason
locomo::conv-26_qa005,locomo,conv-26_qa005,When did Melanie run a charity race?,The sunday before 25 May 2023,"Gold says Sunday before May 25, but the only race fact dates the event to Saturday, May 20."
locomo::conv-26_qa028,locomo,conv-26_qa028,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,"The candidate calls July 8 the Friday before July 15, but July 8, 2023 was Saturday and the actual preceding Friday was July 14."
locomo::conv-30_qa037,locomo,conv-30_qa037,When did Gina mention Shia Labeouf?," 23 July, 2023",No supplied candidate fact mentions Shia Labeouf or directly supports the gold date.
locomo::conv-41_qa027,locomo,conv-41_qa027,When did John have a party with veterans?,The Friday before 20 May 2023,"Party facts date the party to May 20; the May 19 fact is a project meeting, not the party described by the gold answer."
locomo::conv-41_qa048,locomo,conv-41_qa048,When did John have his first firefighter call-out?,The sunday before 3` July 2023,The gold answer is malformed and incompatible with the supplied July 30 call-out fact.
locomo::conv-41_qa056,locomo,conv-41_qa056,When did John participate in a 5K charity run?,first weekend of August 2023,"Candidates show John organized a run on or before August 9, but do not establish that he participated during the first weekend."
locomo::conv-43_qa020,locomo,conv-43_qa020,Which city was John in before traveling to Chicago?,Seattle,Candidates show Seattle-related preferences before a Chicago visit but do not directly establish that John was in Seattle.
locomo::conv-44_qa055,locomo,conv-44_qa055,When did Andrew make his dogs a fun indoor area?,"few days before November 22, 2023",No candidate states that Andrew created an indoor area for his dogs; daycare and adoption facts are different claims.
locomo::conv-47_qa037,locomo,conv-47_qa037,When did John spend time with his sister and dogs?,"July 21, 2022","The supplied facts concern James rather than John, so the question/gold entity cannot be reliably mapped."
locomo::conv-48_qa002,locomo,conv-48_qa002,When did Deborah`s mother pass away?,a few years before 2023,"The only dated death fact concerns Deborah's friend, while mother-death facts do not supply the requested date."
locomo::conv-48_qa021,locomo,conv-48_qa021,"When do Jolene and her partner plan to complete the game ""Walking Dead""?","Saturday after 27 January, 2023",Candidates do not support the stated Saturday completion plan; the available game date is February 4.
locomo::conv-48_qa043,locomo,conv-48_qa043,When did Deborah go for a bicycle ride with Anna?,"first week of April, 2023",No supplied fact describes Deborah taking a bicycle ride with Anna in the target week.
locomo::conv-49_qa022,locomo,conv-49_qa022,When Evan did meet his future wife?,"week before August 7, 2023.",Candidates mention a female companion but do not establish meeting a future wife or the requested date.
locomo::conv-49_qa067,locomo,conv-49_qa067,When did Evan and Sam planned a trip to the beach together?,"December, 2023",Candidates support a December de-stressing trip but never identify it as the joint beach trip in the question.
locomo::conv-50_qa031,locomo,conv-50_qa031,Where was Dave in the last two weeks of August 2023?,San Francisco,"The only San Francisco visits are August 14 and September 1, neither reliably falls in the stated last two weeks of August."
locomo::conv-50_qa067,locomo,conv-50_qa067,Where was Calvin located in the last week of October 2023?,Tokyo,"A Japanese house does not establish a Tokyo location, and other facts place the Tokyo trip in November."
longmemeval::982b5123,longmemeval,982b5123,How many months ago did I book the Airbnb in San Francisco?,Five months ago,No candidate dates the San Francisco Airbnb booking five months earlier; stay and prior-booking-policy facts are insufficient.
longmemeval::gpt4_e414231f,longmemeval,gpt4_e414231f,Which bike did I fixed or serviced the past weekend?,road bike,Candidates show road-bike maintenance intent but do not establish completed service during the past weekend.
