key,question,gold_answer,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,temporal_type_valid,gold_ids_valid,conflict_ids_valid,proposed_label_valid,confidence,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,independent_gold_conflict_overlap,author_signoff_required,independent_notes,changed_fact_texts,author_temporal_type,author_gold_fact_ids,author_conflict_fact_ids,author_notes
locomo::conv-26_qa033,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,ordering,historical-state,fact_ba5acf052684d52a;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a;item_fe103ffec1779d2c,fact_ba5acf052684d52a;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a;item_fe103ffec1779d2c,fact_523d713d3e2be542;fact_b834b05e92f34175;fact_e7f6594ecc99d348;item_185007f7fbdca15b,fact_523d713d3e2be542;fact_b834b05e92f34175;fact_e7f6594ecc99d348;item_185007f7fbdca15b,True,True,True,True,high,False,True,True,,True,"Gold facts consistently identify Caroline attending a pride parade in late June 2023, aligning with 'the week before 3 July 2023'. Conflicts involve later dates (August 11, July 17) or vague references (a few weeks before July 15). No ordering or current-vs-old comparison is needed. All facts are about the same event (Caroline's pride parade attendance), with conflicting dates. The correct temporal type is historical-state.",,,,,
locomo::conv-26_qa035,When did Melanie go camping in July?,two weekends before 17 July 2023,ordering,ordering,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_cfce2eacbb288889;item_f7e7b2e7c54fb750,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_f7e7b2e7c54fb750,,item_744c156fbf131bd2;item_8b4ba81920923d5f;item_946af971a3dd8672,True,True,True,True,high,True,False,False,,True,"Gold facts directly support 'two weekends before July 17, 2023' (around July 3). Conflict facts (June 20, July 15, and late August) contradict the target date. 'Every summer' and 'a few weeks prior to September' are irrelevant. 'On or before July 15' aligns with gold. 'Last week (June 20)' conflicts. 'July 6' is inconsistent with gold. 'July 17' facts are irrelevant. Only 5 gold and 3 conflict facts needed; others are irrelevant.","item_744c156fbf131bd2: Melanie and her children completed a painting on July 17, 2023, which was similar to a previous painting they did. || item_8b4ba81920923d5f: Melanie took her family camping in the mountains last week (June 20, 2023). || item_946af971a3dd8672: Melanie went on a family camping trip on or before June 27, 2023, where they explored nature and roasted marshmallows around a campfire. || item_cfce2eacbb288889: Melanie has children with whom she paints.",,,,
locomo::conv-41_qa004,When did John join the online support group?,The week before 1 January 2023,ordering,historical-state,fact_6317611ef7de1457;fact_db5ae59dae3b7b7b;fact_fef91a941cc49654;item_28bafbba515712b5;item_97a6a1b39b40c1b6,fact_6317611ef7de1457;fact_db5ae59dae3b7b7b;fact_fef91a941cc49654;item_28bafbba515712b5;item_97a6a1b39b40c1b6,fact_7e3d4beb1e0bebc2;fact_d135012e3fe23b10;item_1ff65c7c017d9918;item_3bb485624af07eb9;item_8b8d45251ddac017,fact_7e3d4beb1e0bebc2;item_1ff65c7c017d9918;item_3bb485624af07eb9;item_8b8d45251ddac017,True,True,True,True,high,False,True,False,,True,"Gold facts directly support John joining the group in late December 2022. Conflict facts mention August 2023 invitations and membership, which contradict the late December 2022 timeline. The question asks for a specific time, not ordering or comparison. The proposed 'ordering' type is incorrect; 'historical-state' fits best.","fact_d135012e3fe23b10: John is a member of a virtual support group for military advocates as of August 3, 2023.",,,,
locomo::conv-41_qa027,When did John have a party with veterans?,The Friday before 20 May 2023,ordering,historical-state,fact_0f951d76148f81a1;fact_579c9d0dc6ce8b7c;fact_e58934e6be413714;item_5c851f97b1c56d4e;item_d33341e417820780,fact_0f951d76148f81a1;fact_579c9d0dc6ce8b7c;fact_e58934e6be413714;item_5c851f97b1c56d4e;item_d33341e417820780,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly identify John hosting a party for veterans on May 20, 2023, aligning with the gold answer. The Friday before May 20, 2023, is May 19, 2023, confirmed by item_d33341e417820780. No conflicting dates or orders exist. The temporal type is historical-state, as the query asks for a specific past date. No ordering or current-vs-old comparison is needed.",,,,,
locomo::conv-41_qa056,When did John participate in a 5K charity run?,first weekend of August 2023,ordering,historical-state,fact_925e8fd8db087978;fact_9ee0324f4f818591;item_19f8d4ca51240a83;item_966945477aca5936,fact_925e8fd8db087978;fact_9ee0324f4f818591;item_19f8d4ca51240a83;item_966945477aca5936,fact_8b6821c3a0475304,fact_8b6821c3a0475304,True,True,True,True,high,False,True,True,,True,"Gold facts confirm John organized a 5K charity run in his neighborhood on or before August 9, 2023, aligning with the gold answer. The conflict fact states John organized the run but lacks a date, creating ambiguity. No ordering or current-vs-old comparison is needed. All facts are consistent with historical-state classification.",,,,,
locomo::conv-42_qa008,When did Nate get his first two turtles?,2019,ordering,historical-state,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,fact_0d79fcb0e8aa0452;fact_5b0507fb2874e05f;fact_684393ce8f95cfe1;item_3ff2dcbe43289851;item_e6abbfdf40834530,fact_0d79fcb0e8aa0452;fact_5b0507fb2874e05f;fact_684393ce8f95cfe1;item_3ff2dcbe43289851;item_e6abbfdf40834530,True,True,True,True,high,False,True,True,,True,"Gold facts establish Nate owned two turtles by Jan 23, 2022, and had owned them for 3 years. Conflict facts state ownership at later dates (Oct 25, Sep 5, Nov 11, Nov 9, 2022), implying acquisition before 2019. The target event (first two turtles) is a single past state, not a sequence or comparison. Ordering is incorrect; historical-state fits best.",,,,,
locomo::conv-42_qa015,When did Nate get purple hair?,"The week before 15April, 2022.",ordering,historical-state,item_6b74a4caeb182fbc;item_dffa45f621638781,item_6b74a4caeb182fbc;item_dffa45f621638781,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa,True,True,True,True,high,False,True,True,,True,"The gold facts confirm purple hair on April 15, 2022, aligning with 'the week before 15April, 2022'. The conflict facts state 'as of April 15, 2022' for dyeing, which is consistent with the gold answer. No incompatible dates or orders exist. The temporal type should be historical-state, not ordering, as no relative timing or sequence is required.",,,,,
locomo::conv-42_qa026,When did Nate win his third tourney?,"The week before 3June, 2022",ordering,ordering,item_131be2fea6caa75c;item_56edc3a93ad3bf7f,item_131be2fea6caa75c;item_56edc3a93ad3bf7f,,fact_412ffe73cc0c9754;fact_72d328c556473ad6;item_e9a133e40a27add3,True,True,True,True,high,True,True,False,,True,"Gold facts identify Nate's third tournament in the week before June 3, 2022. Conflicts include direct claims of winning on June 3, 2022, contradicting the required 'week before June 3'. The temporal type 'ordering' is correct as the task requires sequencing relative to June 3, 2022.","fact_412ffe73cc0c9754: Nate won a gaming tournament on June 3, 2022. || fact_72d328c556473ad6: Nate won a regional video game tournament in the week preceding June 3, 2022. || item_e9a133e40a27add3: Nate won a gaming tournament on June 3, 2022.",,,,
locomo::conv-42_qa029,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",historical-state,historical-state,item_cbd82196539dc06c;item_d2f0a77ef667e5a1,item_cbd82196539dc06c;item_d2f0a77ef667e5a1,item_2eaad62cfcbab0cc;item_5f46daca766f207f;item_749cfc6f97a5bddc;item_a8233be32d156dd5;item_a962452ac1562031;item_ab7b883e0d2aef64,item_2eaad62cfcbab0cc;item_5f46daca766f207f;item_749cfc6f97a5bddc;item_a8233be32d156dd5;item_a962452ac1562031,True,True,True,True,high,True,True,False,,True,"Gold facts confirm Nate made vegan ice cream on June 17, 2022, and Joanna planned to try it on April 17, 2022—both support the weekend of June 24, 2022. Conflicts involve unrelated dates or events (e.g., November 11, 2022, or April 17, 2022) that do not contradict the target date. No facts directly conflict with the gold answer. Temporal type 'historical-state' is appropriate for a single specified date.",item_ab7b883e0d2aef64: Joanna enjoys the coconut milk ice cream that Nate makes.,,,,
locomo::conv-42_qa033,When did someone write Joanna a touching letter?,"The week before 14August, 2022.",ordering,historical-state,item_2c89082b0195c7e9;item_cdfb2f0df58a3969,item_2c89082b0195c7e9;item_cdfb2f0df58a3969,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly support the answer: a letter was received during the week of August 7, 2022, which aligns with 'the week before 14 August 2022'. No conflicting facts about the same event exist. The temporal operation is a direct lookup of a past event, fitting 'historical-state'.",,,,,
