run_id,source_id,question_id,dataset_sha256,completed_at_utc,method,requests,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,cost_usd_20_messages,cost_usd_per_1k_messages,cost_efficiency_vs_zep_local
revision_deepseek_cost_probe_20260801_174500_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T09:48:10.666077+00:00,MemForest,22,0,22655,3467,26122,0.00414246,0.207123,2.555
revision_deepseek_cost_probe_20260801_174500_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T09:48:10.666077+00:00,EverMemOS,28,0,28985,3624,32609,0.00507262,0.253631,2.087
revision_deepseek_cost_probe_20260801_174500_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T09:48:10.666077+00:00,Mem0,16,11136,9331,1455,21922,0.001744921,0.087246,6.066
revision_deepseek_cost_probe_20260801_174500_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T09:48:10.666077+00:00,MemoryOS,36,512,8493,1974,10979,0.001743174,0.087159,6.072
revision_deepseek_cost_probe_20260801_174500_conv0,conv-26,conv-26_qa023,6973a076a2a377f33315d1f301c85076f16e02e5dd74497a97d10a9ccf5895dd,2026-08-01T09:48:10.666077+00:00,Zep Local,134,41088,63614,5584,110286,0.010584526,0.529226,1.0
revision_deepseek_cost_probe_20260801_174500_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T09:54:30.921077+00:00,MemForest,18,0,21499,3034,24533,0.00385938,0.192969,2.938
revision_deepseek_cost_probe_20260801_174500_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T09:54:30.921077+00:00,EverMemOS,26,768,26350,3205,30323,0.00458855,0.229428,2.471
revision_deepseek_cost_probe_20260801_174500_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T09:54:30.921077+00:00,Mem0,13,8192,8678,1193,18063,0.001571898,0.078595,7.214
revision_deepseek_cost_probe_20260801_174500_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T09:54:30.921077+00:00,MemoryOS,38,1152,11227,2643,15022,0.002315046,0.115752,4.898
revision_deepseek_cost_probe_20260801_174500_conv1,conv-42,conv-42_qa002,918d41e7b4e8946f77a5b0a745b902f944b55e48ded5aee6769bbcc69bb50124,2026-08-01T09:54:30.921077+00:00,Zep Local,143,43008,68761,5689,117458,0.011339882,0.566994,1.0
revision_deepseek_cost_probe_20260801_174500_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T10:00:46.527842+00:00,MemForest,23,0,23667,3866,27533,0.00439586,0.219793,2.778
revision_deepseek_cost_probe_20260801_174500_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T10:00:46.527842+00:00,EverMemOS,26,768,26837,3437,31042,0.00472169,0.236085,2.587
revision_deepseek_cost_probe_20260801_174500_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T10:00:46.527842+00:00,Mem0,13,8192,8855,1433,18480,0.001663878,0.083194,7.341
revision_deepseek_cost_probe_20260801_174500_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T10:00:46.527842+00:00,MemoryOS,38,896,12928,3114,16938,0.002684349,0.134217,4.55
revision_deepseek_cost_probe_20260801_174500_conv2,conv-43,conv-43_qa002,10bf795997524f5d9c5b11844bcfd89f11cdc0fdeef773c80e82b49b70771571,2026-08-01T10:00:46.527842+00:00,Zep Local,157,45568,73840,6245,125653,0.01221379,0.61069,1.0
