model,method,benchmark,qid,question_type,strict_label,public_label,correct_votes,wrong_votes,complete_repetitions,answer_source
gemma4_12b,evermemos,locomo,conv-26_qa000,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa001,temporal,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa002,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa003,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa004,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa005,temporal,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa006,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa007,multi-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa008,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa009,temporal,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa010,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa011,multi-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa012,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa013,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa014,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa015,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa016,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa017,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa018,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa019,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa020,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa021,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa022,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa023,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa024,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa025,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
