model,qid,question_type,fact_id,fact_text,extracted_entities,normalized_entity_keys,active_entity_keys,candidate_states,audit_stratum,author_expected_entities,author_precision_verdict,author_recall_verdict,author_notes
Qwen3-30B,10d9b85a,multi-session,fact_16ff3b1ab8218b38,The user asked whether Las Vegas has any plans for addressing the impact of climate change on its infrastructure and resources.,Las Vegas | climate change | infrastructure | resources,climate_change | infrastructure | las_vegas | resources,climate_change | las_vegas,climate_change:active | infrastructure:lazy | las_vegas:active | resources:lazy,multi_session_active,,,,
Qwen3-30B,60bf93ed,multi-session,fact_3b690f0755d3ebcf,"The assistant suggested a lemon garlic chicken breast recipe featuring a marinade of lemon juice, garlic, olive oil, thyme, and rosemary, served with roasted vegetables and quinoa.",lemon garlic chicken breast | lemon juice | garlic | olive oil | thyme | rosemary | roasted vegetables | quinoa,garlic | lemon_garlic_chicken_breast | lemon_juice | olive_oil | quinoa | roasted_vegetables | rosemary | thyme,lemon_juice | olive_oil,garlic:lazy | lemon_garlic_chicken_breast:lazy | lemon_juice:active | olive_oil:active | quinoa:lazy | roasted_vegetables:lazy | rosemary:lazy | thyme:lazy,multi_session_active,,,,
Qwen3-30B,5025383b,multi-session,fact_84e46e56603f3d56,"The assistant invites the user to reflect on possible parallels between navigating different dimensions in The OA and navigating gender identity, suggesting a thematic link between interdimensional travel and gender self-discovery.",The OA | interdimensional travel | gender identity,gender_identity | interdimensional_travel | the_oa,the_oa,gender_identity:lazy | interdimensional_travel:lazy | the_oa:active,multi_session_active,,,,
Qwen3-30B,d3ab962e,multi-session,fact_afa6a5dfc4447d88,"The user requested help breaking down their report into smaller, manageable tasks on September 24, 2022.",report | task breakdown,report | task_breakdown,task_breakdown,report:lazy | task_breakdown:active,multi_session_active,,,,
Qwen3-30B,e6041065,multi-session,fact_baa974f8a6f167eb,The user is planning a ski trip to Switzerland and is seeking recommendations on the best month for powder snow.,Switzerland | ski trip,ski_trip | switzerland,switzerland,ski_trip:lazy | switzerland:active,multi_session_active,,,,
Qwen3-30B,gpt4_372c3eed,multi-session,fact_bf1fbf73f9d30ed2,"Spaghetti Bolognese is a classic Italian dish made with ground beef, onions, garlic, and canned tomatoes, served with spaghetti and parmesan cheese.",Spaghetti Bolognese | ground beef | onions | garlic | canned tomatoes | spaghetti | parmesan cheese,canned_tomatoes | garlic | ground_beef | onions | parmesan_cheese | spaghetti | spaghetti_bolognese,parmesan_cheese,canned_tomatoes:lazy | garlic:lazy | ground_beef:lazy | onions:lazy | parmesan_cheese:active | spaghetti:lazy | spaghetti_bolognese:lazy,multi_session_active,,,,
Qwen3-30B,gpt4_ab202e7f,multi-session,fact_62388abcd484dbc7,"The user asked the assistant for specific course recommendations on Coursera and edX related to entrepreneurship and startup development on May 20, 2023.",Coursera | edX | The Lean Startup,coursera | edx | the_lean_startup,coursera | edx,coursera:active | edx:active | the_lean_startup:lazy,multi_session_active,,,,
Qwen3-30B,gpt4_731e37d7,multi-session,fact_11e9aa1fa0b6cd9d,"The assistant highlighted that loving-kindness meditation can build resilience, enabling the user to handle adversity with grace, compassion, and understanding.",loving-kindness meditation | resilience | adversity,adversity | loving_kindness_meditation | resilience,loving_kindness_meditation,adversity:lazy | loving_kindness_meditation:active | resilience:lazy,multi_session_active,,,,
Qwen3-30B,681a1674,multi-session,fact_01e50c5e61acac47,"The assistant recommended tri-tip for smoking, noting that smoke adds a rich, savory flavor to the beef, which pairs well with BBQ sauce.",tri-tip | smoking | BBQ sauce,bbq_sauce | smoking | tri_tip,bbq_sauce,bbq_sauce:active | smoking:lazy | tri_tip:lazy,multi_session_active,,,,
Qwen3-30B,gpt4_2f8be40d,multi-session,fact_42f34d6bd4baaed1,The assistant advised using a calendar or reminder app such as Google Calendar or Apple Reminders to create recurring events for morning activities.,Google Calendar | Apple Reminders,apple_reminders | google_calendar,google_calendar,apple_reminders:lazy | google_calendar:active,multi_session_active,,,,
Qwen3-30B,gpt4_f2262a51,multi-session,fact_d54a5ea5225d3aa0,The assistant recommended creating a top-level 'Photos' folder in the cloud for organizing photography files.,Photos | cloud storage,cloud_storage | photos,cloud_storage | photos,cloud_storage:active | photos:active,multi_session_active,,,,
Qwen3-30B,gpt4_731e37d7,multi-session,fact_fb3caa1089ee943d,The user experienced challenges catering to multiple dietary restrictions during a family trip to Hawaii in December 2022.,Hawaii | family trip | dietary restrictions,dietary_restrictions | family_trip | hawaii,hawaii,dietary_restrictions:lazy | family_trip:lazy | hawaii:active,multi_session_active,,,,
Qwen3-30B,60472f9c,multi-session,fact_6e737e831e87b5a0,"The assistant suggested specifying the application area by including keywords like 'tumor detection', 'disease diagnosis', 'image classification', 'segmentation', 'registration', and 'disease grading' in search queries.",tumor detection | disease diagnosis | image classification | segmentation | registration | disease grading,disease_diagnosis | disease_grading | image_classification | registration | segmentation | tumor_detection,disease_diagnosis | image_classification,disease_diagnosis:active | disease_grading:lazy | image_classification:active | registration:lazy | segmentation:lazy | tumor_detection:lazy,multi_session_active,,,,
Qwen3-30B,60bf93ed_abs,multi-session,fact_9a7cd216c54857c3,"The assistant listed the purchase of new bike lights as a $20 expense on January 25, 2023, under the transportation category.","bike lights | $20 | January 25, 2023",20 | bike_lights | january_25_2023,january_25_2023,20:lazy | bike_lights:lazy | january_25_2023:active,multi_session_active,,,,
Qwen3-30B,a11281a2,multi-session,fact_1512eea4dc2e0036,The assistant suggests requesting a table that fits a group of 4 to 5 people and specifying preferences such as a quiet corner or a spot with natural light.,table | quiet corner | natural light,natural_light | quiet_corner | table,natural_light,natural_light:active | quiet_corner:lazy | table:lazy,multi_session_active,,,,
